|           | - | Red Blocks                   | - | Green Blocks                 | - | Blue Blocks                  | - | Black Blocks                 | - | White Blocks                 | - | Gates                        | - | Player                       |/
|           | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|           | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |

&
|           | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|           | - | 0, 1, 1, 1, 1, 1, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|           | - | 0, 1, 1, 1, 1, 1, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|           | - | 0, 1, 1, 1, 1, 1, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|  Level 1  | - | 0, 0, 0, 1, 1, 1, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|  Floor 1  | - | 0, 1, 1, 1, 1, 1, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|           | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|           | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|           | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|           | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |

&
|           | - | 5, 5, 5, 5, 5, 5, 5, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|           | - | 5, 5, 5, 5, 5, 5, 5, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|           | - | 5, 5, 5, 5, 5, 5, 5, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|           | - | 5, 5, 5, 5, 5, 5, 5, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|  Level 1  | - | 5, 5, 5, 5, 5, 5, 5, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|  Floor 1  | - | 5, 5, 5, 5, 5, 5, 5, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|           | - | 5, 5, 5, 5, 5, 5, 5, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|           | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|           | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |/
|           | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 | - | 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 |
